122912;Avengers: Infinity War - Part I (2018)
182715;Annihilation (2018)
183011;The Commuter (2018)
183295;Insidious: The Last Key (2018)
183611;Game Night (2018)
183635;Maze Runner: The Death Cure (2018)
183897;Isle of Dogs (2018)
183911;The Clapper (2018)
183959;Tom Segura: Disgraceful (2018)
184015;When We First Met (2018)
184253;The Cloverfield Paradox (2018)
184471;Tomb Raider (2018)
184791;Fred Armisen: Standup for Drummers (2018)
184931;Death Wish (2018)
184987;A Wrinkle in Time (2018)
184997;Love, Simon (2018)
185029;A Quiet Place (2018)
185031;Alpha (2018)
185033;I Kill Giants (2018)
185435;Game Over, Man! (2018)
185473;Blockers (2018)
185585;Pacific Rim: Uprising (2018)
186587;Rampage (2018)
187031;Jurassic World: Fallen Kingdom (2018)
187541;Incredibles 2 (2018)
187593;Deadpool 2 (2018)
187595;Solo: A Star Wars Story (2018)
187717;Won't You Be My Neighbor? (2018)
188189;Sorry to Bother You (2018)
188301;Ant-Man and the Wasp (2018)
188675;Dogman (2018)
188751;Mamma Mia: Here We Go Again! (2018)
188797;Tag (2018)
188833;The Man Who Killed Don Quixote (2018)
189043;Boundaries (2018)
189111;Spiral (2018)
189333;Mission: Impossible - Fallout (2018)
189381;SuperFly (2018)
189713;BlacKkKlansman (2018)
190183;The Darkest Minds (2018)
193587;Bungo Stray Dogs: Dead Apple (2018)
